Description,Spanish,,Portuguese,
,Spelling,Pronunciation,Spelling,Pronunciation
palatal "l",ll,? (~ ?)[134],lh,?
palatal "n",�,?,nh,"? (EP), j? (BP)"
palatal "y",y,?,i,j
