English,Malaysian,Indonesian
(fruit) jam,jem,selai
Japan,Jepun from Portuguese Jap�o,"Jepang, Jepun (archaic)"
Jordan (country),Jordan,Yordania from Dutch Jordani�
journalist,wartawan,"wartawan, jurnalis"
July,Julai,Juli from Dutch juli
June,Jun,Juni from Dutch juni
